sample.description,sample,population,condition,replicate,group
CAAN1_Dry_1,a01,CAAN1,Dry,1,CAAN1_Dry
CAAN1_Dry_2,a02,CAAN1,Dry,2,CAAN1_Dry
CAAN1_Dry_3,a03,CAAN1,Dry,3,CAAN1_Dry
CAAN1_Dry_4,a04,CAAN1,Dry,4,CAAN1_Dry
CAAN1_Dry_5,a05,CAAN1,Dry,5,CAAN1_Dry
CAAN1_24 hr 20˚ L wp0_1,a06,CAAN1,24 hr 20˚ L wp0,1,CAAN1_24 hr 20˚ L wp0
CAAN1_24 hr 20˚ L wp0_2,a07,CAAN1,24 hr 20˚ L wp0,2,CAAN1_24 hr 20˚ L wp0
CAAN1_24 hr 20˚ L wp0_3,a08,CAAN1,24 hr 20˚ L wp0,3,CAAN1_24 hr 20˚ L wp0
CAAN1_24 hr 20˚ L wp0_4,a09,CAAN1,24 hr 20˚ L wp0,4,CAAN1_24 hr 20˚ L wp0
CAAN1_24 hr 20˚ L wp0_5,a10,CAAN1,24 hr 20˚ L wp0,5,CAAN1_24 hr 20˚ L wp0
CAAN1_24 hr 20˚ L wp-0.3_1,a11,CAAN1,24 hr 20˚ L wp-0.3,1,CAAN1_24 hr 20˚ L wp-0.3
CAAN1_24 hr 20˚ L wp-0.3_2,a12,CAAN1,24 hr 20˚ L wp-0.3,2,CAAN1_24 hr 20˚ L wp-0.3
CAAN1_24 hr 20˚ L wp-0.3_3,a13,CAAN1,24 hr 20˚ L wp-0.3,3,CAAN1_24 hr 20˚ L wp-0.3
CAAN1_24 hr 20˚ L wp-0.3_4,a14,CAAN1,24 hr 20˚ L wp-0.3,4,CAAN1_24 hr 20˚ L wp-0.3
CAAN1_24 hr 20˚ L wp-0.3_5,a15,CAAN1,24 hr 20˚ L wp-0.3,5,CAAN1_24 hr 20˚ L wp-0.3
CAAN2_Dry_1,b01,CAAN2,Dry,1,CAAN2_Dry
CAAN2_Dry_2,b02,CAAN2,Dry,2,CAAN2_Dry
CAAN2_Dry_3,b03,CAAN2,Dry,3,CAAN2_Dry
CAAN2_Dry_4,b04,CAAN2,Dry,4,CAAN2_Dry
CAAN2_Dry_5,b05,CAAN2,Dry,5,CAAN2_Dry
CAAN2_24 hr 20˚ L wp0_1,b06,CAAN2,24 hr 20˚ L wp0,1,CAAN2_24 hr 20˚ L wp0
CAAN2_24 hr 20˚ L wp0_2,b07,CAAN2,24 hr 20˚ L wp0,2,CAAN2_24 hr 20˚ L wp0
CAAN2_24 hr 20˚ L wp0_3,b08,CAAN2,24 hr 20˚ L wp0,3,CAAN2_24 hr 20˚ L wp0
CAAN2_24 hr 20˚ L wp0_4,b09,CAAN2,24 hr 20˚ L wp0,4,CAAN2_24 hr 20˚ L wp0
CAAN2_24 hr 20˚ L wp0_5,b10,CAAN2,24 hr 20˚ L wp0,5,CAAN2_24 hr 20˚ L wp0
CACO1_Dry_1,c01,CACO1,Dry,1,CACO1_Dry
CACO1_Dry_2,c02,CACO1,Dry,2,CACO1_Dry
CACO1_Dry_3,c03,CACO1,Dry,3,CACO1_Dry
CACO1_Dry_4,c04,CACO1,Dry,4,CACO1_Dry
CACO1_Dry_5,c05,CACO1,Dry,5,CACO1_Dry
CACO1_24 hr 20˚ L wp0_1,c06,CACO1,24 hr 20˚ L wp0,1,CACO1_24 hr 20˚ L wp0
CACO1_24 hr 20˚ L wp0_2,c07,CACO1,24 hr 20˚ L wp0,2,CACO1_24 hr 20˚ L wp0
CACO1_24 hr 20˚ L wp0_3,c08,CACO1,24 hr 20˚ L wp0,3,CACO1_24 hr 20˚ L wp0
CACO1_24 hr 20˚ L wp0_4,c09,CACO1,24 hr 20˚ L wp0,4,CACO1_24 hr 20˚ L wp0
CACO1_24 hr 20˚ L wp0_5,c10,CACO1,24 hr 20˚ L wp0,5,CACO1_24 hr 20˚ L wp0
CAIN2_Dry_1,d01,CAIN2,Dry,1,CAIN2_Dry
CAIN2_Dry_2,d02,CAIN2,Dry,2,CAIN2_Dry
CAIN2_Dry_3,d03,CAIN2,Dry,3,CAIN2_Dry
CAIN2_Dry_4,d04,CAIN2,Dry,4,CAIN2_Dry
CAIN2_Dry_5,d05,CAIN2,Dry,5,CAIN2_Dry
CAIN2_24 hr 20˚ L wp0_1,d06,CAIN2,24 hr 20˚ L wp0,1,CAIN2_24 hr 20˚ L wp0
CAIN2_24 hr 20˚ L wp0_2,d07,CAIN2,24 hr 20˚ L wp0,2,CAIN2_24 hr 20˚ L wp0
CAIN2_24 hr 20˚ L wp0_3,d08,CAIN2,24 hr 20˚ L wp0,3,CAIN2_24 hr 20˚ L wp0
CAIN2_24 hr 20˚ L wp0_4,d09,CAIN2,24 hr 20˚ L wp0,4,CAIN2_24 hr 20˚ L wp0
CAIN2_24 hr 20˚ L wp0_5,d10,CAIN2,24 hr 20˚ L wp0,5,CAIN2_24 hr 20˚ L wp0
STBR3_Dry_1,e01,STBR3,Dry,1,STBR3_Dry
STBR3_Dry_2,e02,STBR3,Dry,2,STBR3_Dry
STBR3_Dry_3,e03,STBR3,Dry,3,STBR3_Dry
STBR3_Dry_4,e04,STBR3,Dry,4,STBR3_Dry
STBR3_Dry_5,e05,STBR3,Dry,5,STBR3_Dry
STBR3_24 hr 20˚ L wp0_1,e06,STBR3,24 hr 20˚ L wp0,1,STBR3_24 hr 20˚ L wp0
STBR3_24 hr 20˚ L wp0_2,e07,STBR3,24 hr 20˚ L wp0,2,STBR3_24 hr 20˚ L wp0
STBR3_24 hr 20˚ L wp0_3,e08,STBR3,24 hr 20˚ L wp0,3,STBR3_24 hr 20˚ L wp0
STBR3_24 hr 20˚ L wp0_4,e09,STBR3,24 hr 20˚ L wp0,4,STBR3_24 hr 20˚ L wp0
STBR3_24 hr 20˚ L wp0_5,e10,STBR3,24 hr 20˚ L wp0,5,STBR3_24 hr 20˚ L wp0
STDI_Dry_1,f01,STDI,Dry,1,STDI_Dry
STDI_Dry_2,f02,STDI,Dry,2,STDI_Dry
STDI_Dry_3,f03,STDI,Dry,3,STDI_Dry
STDI_Dry_4,f04,STDI,Dry,4,STDI_Dry
STDI_Dry_5,f05,STDI,Dry,5,STDI_Dry
STDI_24 hr 20˚ L wp0_1,f06,STDI,24 hr 20˚ L wp0,1,STDI_24 hr 20˚ L wp0
STDI_24 hr 20˚ L wp0_2,f07,STDI,24 hr 20˚ L wp0,2,STDI_24 hr 20˚ L wp0
STDI_24 hr 20˚ L wp0_3,f08,STDI,24 hr 20˚ L wp0,3,STDI_24 hr 20˚ L wp0
STDI_24 hr 20˚ L wp0_4,f09,STDI,24 hr 20˚ L wp0,4,STDI_24 hr 20˚ L wp0
STDI_24 hr 20˚ L wp0_5,f10,STDI,24 hr 20˚ L wp0,5,STDI_24 hr 20˚ L wp0
STDI_24 hr 20˚ L wp-0.3_1,f11,STDI,24 hr 20˚ L wp-0.3,1,STDI_24 hr 20˚ L wp-0.3
STDI_24 hr 20˚ L wp-0.3_2,f12,STDI,24 hr 20˚ L wp-0.3,2,STDI_24 hr 20˚ L wp-0.3
STDI_24 hr 20˚ L wp-0.3_3,f13,STDI,24 hr 20˚ L wp-0.3,3,STDI_24 hr 20˚ L wp-0.3
STDI_24 hr 20˚ L wp-0.3_4,f14,STDI,24 hr 20˚ L wp-0.3,4,STDI_24 hr 20˚ L wp-0.3
STDI_24 hr 20˚ L wp-0.3_5,f15,STDI,24 hr 20˚ L wp-0.3,5,STDI_24 hr 20˚ L wp-0.3
STDI_5 days 5˚ L wp0_1,f16,STDI,5 days 5˚ L wp0,1,STDI_5 days 5˚ L wp0
STDI_5 days 5˚ L wp0_2,f17,STDI,5 days 5˚ L wp0,2,STDI_5 days 5˚ L wp0
STDI_5 days 5˚ L wp0_3,f18,STDI,5 days 5˚ L wp0,3,STDI_5 days 5˚ L wp0
STDI_5 days 5˚ L wp0_4,f19,STDI,5 days 5˚ L wp0,4,STDI_5 days 5˚ L wp0
STDI_5 days 5˚ L wp0_5,f20,STDI,5 days 5˚ L wp0,5,STDI_5 days 5˚ L wp0
STDI_5 days 5˚ D wp0_1,f21,STDI,5 days 5˚ D wp0,1,STDI_5 days 5˚ D wp0
STDI_5 days 5˚ D wp0_2,f22,STDI,5 days 5˚ D wp0,2,STDI_5 days 5˚ D wp0
STDI_5 days 5˚ D wp0_3,f23,STDI,5 days 5˚ D wp0,3,STDI_5 days 5˚ D wp0
STDI_5 days 5˚ D wp0_4,f24,STDI,5 days 5˚ D wp0,4,STDI_5 days 5˚ D wp0
STDI_5 days 5˚ D wp0_5,f25,STDI,5 days 5˚ D wp0,5,STDI_5 days 5˚ D wp0
STDI_24 hr 20˚ D wp0_1,f26,STDI,24 hr 20˚ D wp0,1,STDI_24 hr 20˚ D wp0
STDI_24 hr 20˚ D wp0_2,f27,STDI,24 hr 20˚ D wp0,2,STDI_24 hr 20˚ D wp0
STDI_24 hr 20˚ D wp0_3,f28,STDI,24 hr 20˚ D wp0,3,STDI_24 hr 20˚ D wp0
STDI_24 hr 20˚ D wp0_4,f29,STDI,24 hr 20˚ D wp0,4,STDI_24 hr 20˚ D wp0
STDI_24 hr 20˚ D wp0_5,f30,STDI,24 hr 20˚ D wp0,5,STDI_24 hr 20˚ D wp0
STDR2_Dry_1,g01,STDR2,Dry,1,STDR2_Dry
STDR2_Dry_2,g02,STDR2,Dry,2,STDR2_Dry
STDR2_Dry_3,g03,STDR2,Dry,3,STDR2_Dry
STDR2_Dry_4,g04,STDR2,Dry,4,STDR2_Dry
STDR2_Dry_5,g05,STDR2,Dry,5,STDR2_Dry
STDR2_24 hr 20˚ L wp0_1,g06,STDR2,24 hr 20˚ L wp0,1,STDR2_24 hr 20˚ L wp0
STDR2_24 hr 20˚ L wp0_2,g07,STDR2,24 hr 20˚ L wp0,2,STDR2_24 hr 20˚ L wp0
STDR2_24 hr 20˚ L wp0_3,g08,STDR2,24 hr 20˚ L wp0,3,STDR2_24 hr 20˚ L wp0
STDR2_24 hr 20˚ L wp0_4,g09,STDR2,24 hr 20˚ L wp0,4,STDR2_24 hr 20˚ L wp0
STDR2_24 hr 20˚ L wp0_5,g10,STDR2,24 hr 20˚ L wp0,5,STDR2_24 hr 20˚ L wp0
STGL1_Dry_1,h01,STGL1,Dry,1,STGL1_Dry
STGL1_Dry_2,h02,STGL1,Dry,2,STGL1_Dry
STGL1_24 hr 20˚ L wp0_1,h06,STGL1,24 hr 20˚ L wp0,1,STGL1_24 hr 20˚ L wp0
STGL1_24 hr 20˚ L wp0_2,h07,STGL1,24 hr 20˚ L wp0,2,STGL1_24 hr 20˚ L wp0
STGL1_24 hr 20˚ L wp0_3,i9x,STGL1,24 hr 20˚ L wp0,3,STGL1_24 hr 20˚ L wp0
STGL1_24 hr 20˚ L wp0_4,h09,STGL1,24 hr 20˚ L wp0,4,STGL1_24 hr 20˚ L wp0
STGL1_24 hr 20˚ L wp0_5,h10,STGL1,24 hr 20˚ L wp0,5,STGL1_24 hr 20˚ L wp0
STGL2_Dry_1,i01,STGL2,Dry,1,STGL2_Dry
STGL2_Dry_2,i02,STGL2,Dry,2,STGL2_Dry
STGL2_Dry_3,i03,STGL2,Dry,3,STGL2_Dry
STGL2_Dry_4,i04,STGL2,Dry,4,STGL2_Dry
STGL2_Dry_5,i05,STGL2,Dry,5,STGL2_Dry
STGL2_24 hr 20˚ L wp0_1,i06,STGL2,24 hr 20˚ L wp0,1,STGL2_24 hr 20˚ L wp0
STGL2_24 hr 20˚ L wp0_2,i07,STGL2,24 hr 20˚ L wp0,2,STGL2_24 hr 20˚ L wp0
STGL2_24 hr 20˚ L wp0_3,i08,STGL2,24 hr 20˚ L wp0,3,STGL2_24 hr 20˚ L wp0
STGL2_24 hr 20˚ L wp0_4,i9b,STGL2,24 hr 20˚ L wp0,4,STGL2_24 hr 20˚ L wp0
STGL2_24 hr 20˚ L wp0_5,i10,STGL2,24 hr 20˚ L wp0,5,STGL2_24 hr 20˚ L wp0
STGL2_24 hr 20˚ L wp-0.3_1,i11,STGL2,24 hr 20˚ L wp-0.3,1,STGL2_24 hr 20˚ L wp-0.3
STGL2_24 hr 20˚ L wp-0.3_2,i12,STGL2,24 hr 20˚ L wp-0.3,2,STGL2_24 hr 20˚ L wp-0.3
STGL2_24 hr 20˚ L wp-0.3_3,i13,STGL2,24 hr 20˚ L wp-0.3,3,STGL2_24 hr 20˚ L wp-0.3
STGL2_24 hr 20˚ L wp-0.3_4,i14,STGL2,24 hr 20˚ L wp-0.3,4,STGL2_24 hr 20˚ L wp-0.3
STGL2_24 hr 20˚ L wp-0.3_5,i15,STGL2,24 hr 20˚ L wp-0.3,5,STGL2_24 hr 20˚ L wp-0.3
STGL2_5 days 5˚ L wp0_1,i16,STGL2,5 days 5˚ L wp0,1,STGL2_5 days 5˚ L wp0
STGL2_5 days 5˚ L wp0_2,i17,STGL2,5 days 5˚ L wp0,2,STGL2_5 days 5˚ L wp0
STGL2_5 days 5˚ L wp0_3,i18,STGL2,5 days 5˚ L wp0,3,STGL2_5 days 5˚ L wp0
STGL2_5 days 5˚ L wp0_4,i19,STGL2,5 days 5˚ L wp0,4,STGL2_5 days 5˚ L wp0
STGL2_5 days 5˚ L wp0_5,i20,STGL2,5 days 5˚ L wp0,5,STGL2_5 days 5˚ L wp0
STGL2_5 days 5˚ D wp0_1,i21,STGL2,5 days 5˚ D wp0,1,STGL2_5 days 5˚ D wp0
STGL2_5 days 5˚ D wp0_2,i22,STGL2,5 days 5˚ D wp0,2,STGL2_5 days 5˚ D wp0
STGL2_5 days 5˚ D wp0_3,i23,STGL2,5 days 5˚ D wp0,3,STGL2_5 days 5˚ D wp0
STGL2_5 days 5˚ D wp0_4,i24,STGL2,5 days 5˚ D wp0,4,STGL2_5 days 5˚ D wp0
STGL2_5 days 5˚ D wp0_5,i25,STGL2,5 days 5˚ D wp0,5,STGL2_5 days 5˚ D wp0
STGL2_24 hr 20˚ D wp0_1,i26,STGL2,24 hr 20˚ D wp0,1,STGL2_24 hr 20˚ D wp0
STGL2_24 hr 20˚ D wp0_2,i27,STGL2,24 hr 20˚ D wp0,2,STGL2_24 hr 20˚ D wp0
STGL2_24 hr 20˚ D wp0_3,i28,STGL2,24 hr 20˚ D wp0,3,STGL2_24 hr 20˚ D wp0
STGL2_24 hr 20˚ D wp0_4,i29,STGL2,24 hr 20˚ D wp0,4,STGL2_24 hr 20˚ D wp0
STGL2_24 hr 20˚ D wp0_5,i30,STGL2,24 hr 20˚ D wp0,5,STGL2_24 hr 20˚ D wp0
STGL3_Dry_1,j01,STGL3,Dry,1,STGL3_Dry
STGL3_Dry_2,j02,STGL3,Dry,2,STGL3_Dry
STGL3_Dry_3,j03,STGL3,Dry,3,STGL3_Dry
STGL3_Dry_4,j04,STGL3,Dry,4,STGL3_Dry
STGL3_Dry_5,j05,STGL3,Dry,5,STGL3_Dry
STGL3_24 hr 20˚ L wp0_1,j06,STGL3,24 hr 20˚ L wp0,1,STGL3_24 hr 20˚ L wp0
STGL3_24 hr 20˚ L wp0_2,j07,STGL3,24 hr 20˚ L wp0,2,STGL3_24 hr 20˚ L wp0
STGL3_24 hr 20˚ L wp0_3,j08,STGL3,24 hr 20˚ L wp0,3,STGL3_24 hr 20˚ L wp0
STGL3_24 hr 20˚ L wp0_4,j09,STGL3,24 hr 20˚ L wp0,4,STGL3_24 hr 20˚ L wp0
STGL3_24 hr 20˚ L wp0_5,j10,STGL3,24 hr 20˚ L wp0,5,STGL3_24 hr 20˚ L wp0
STGL3_24 hr 20˚ L wp-0.3_1,j11,STGL3,24 hr 20˚ L wp-0.3,1,STGL3_24 hr 20˚ L wp-0.3
STGL3_24 hr 20˚ L wp-0.3_2,j12,STGL3,24 hr 20˚ L wp-0.3,2,STGL3_24 hr 20˚ L wp-0.3
STGL3_24 hr 20˚ L wp-0.3_3,j13,STGL3,24 hr 20˚ L wp-0.3,3,STGL3_24 hr 20˚ L wp-0.3
STGL3_24 hr 20˚ L wp-0.3_4,j14,STGL3,24 hr 20˚ L wp-0.3,4,STGL3_24 hr 20˚ L wp-0.3
STGL3_24 hr 20˚ L wp-0.3_5,j15,STGL3,24 hr 20˚ L wp-0.3,5,STGL3_24 hr 20˚ L wp-0.3
STIN_Dry_1,k01,STIN,Dry,1,STIN_Dry
STIN_Dry_2,k02,STIN,Dry,2,STIN_Dry
STIN_Dry_3,k03,STIN,Dry,3,STIN_Dry
STIN_Dry_4,k04,STIN,Dry,4,STIN_Dry
STIN_Dry_5,k05,STIN,Dry,5,STIN_Dry
STIN_24 hr 20˚ L wp0_1,k06,STIN,24 hr 20˚ L wp0,1,STIN_24 hr 20˚ L wp0
STIN_24 hr 20˚ L wp0_2,k07,STIN,24 hr 20˚ L wp0,2,STIN_24 hr 20˚ L wp0
STIN_24 hr 20˚ L wp0_3,k08,STIN,24 hr 20˚ L wp0,3,STIN_24 hr 20˚ L wp0
STIN_24 hr 20˚ L wp0_4,k09,STIN,24 hr 20˚ L wp0,4,STIN_24 hr 20˚ L wp0
STIN_24 hr 20˚ L wp0_5,k10,STIN,24 hr 20˚ L wp0,5,STIN_24 hr 20˚ L wp0
STIN_24 hr 20˚ L wp-0.3_1,k11,STIN,24 hr 20˚ L wp-0.3,1,STIN_24 hr 20˚ L wp-0.3
STIN_24 hr 20˚ L wp-0.3_2,k12,STIN,24 hr 20˚ L wp-0.3,2,STIN_24 hr 20˚ L wp-0.3
STIN_24 hr 20˚ L wp-0.3_3,k13,STIN,24 hr 20˚ L wp-0.3,3,STIN_24 hr 20˚ L wp-0.3
STIN_24 hr 20˚ L wp-0.3_4,k14,STIN,24 hr 20˚ L wp-0.3,4,STIN_24 hr 20˚ L wp-0.3
STIN_24 hr 20˚ L wp-0.3_5,k15,STIN,24 hr 20˚ L wp-0.3,5,STIN_24 hr 20˚ L wp-0.3
STIN_5 days 5˚ L wp0_1,k16,STIN,5 days 5˚ L wp0,1,STIN_5 days 5˚ L wp0
STIN_5 days 5˚ L wp0_2,k17,STIN,5 days 5˚ L wp0,2,STIN_5 days 5˚ L wp0
STIN_5 days 5˚ L wp0_3,k18,STIN,5 days 5˚ L wp0,3,STIN_5 days 5˚ L wp0
STIN_5 days 5˚ L wp0_4,k19,STIN,5 days 5˚ L wp0,4,STIN_5 days 5˚ L wp0
STIN_5 days 5˚ L wp0_5,k20,STIN,5 days 5˚ L wp0,5,STIN_5 days 5˚ L wp0
STIN_5 days 5˚ D wp0_1,k21,STIN,5 days 5˚ D wp0,1,STIN_5 days 5˚ D wp0
STIN_5 days 5˚ D wp0_2,k22,STIN,5 days 5˚ D wp0,2,STIN_5 days 5˚ D wp0
STIN_5 days 5˚ D wp0_3,k23,STIN,5 days 5˚ D wp0,3,STIN_5 days 5˚ D wp0
STIN_5 days 5˚ D wp0_4,k24,STIN,5 days 5˚ D wp0,4,STIN_5 days 5˚ D wp0
STIN_5 days 5˚ D wp0_5,k25,STIN,5 days 5˚ D wp0,5,STIN_5 days 5˚ D wp0
STIN_24 hr 20˚ D wp0_1,k26,STIN,24 hr 20˚ D wp0,1,STIN_24 hr 20˚ D wp0
STIN_24 hr 20˚ D wp0_2,k27,STIN,24 hr 20˚ D wp0,2,STIN_24 hr 20˚ D wp0
STIN_24 hr 20˚ D wp0_3,k28,STIN,24 hr 20˚ D wp0,3,STIN_24 hr 20˚ D wp0
STIN_24 hr 20˚ D wp0_4,k29,STIN,24 hr 20˚ D wp0,4,STIN_24 hr 20˚ D wp0
STIN_24 hr 20˚ D wp0_5,k30,STIN,24 hr 20˚ D wp0,5,STIN_24 hr 20˚ D wp0
STPO1_Dry_1,l01,STPO1,Dry,1,STPO1_Dry
STPO1_Dry_2,l02,STPO1,Dry,2,STPO1_Dry
STPO1_Dry_3,l03,STPO1,Dry,3,STPO1_Dry
STPO1_Dry_4,l04,STPO1,Dry,4,STPO1_Dry
STPO1_Dry_5,l05,STPO1,Dry,5,STPO1_Dry
STPO1_24 hr 20˚ L wp0_1,l06,STPO1,24 hr 20˚ L wp0,1,STPO1_24 hr 20˚ L wp0
STPO1_24 hr 20˚ L wp0_2,l07,STPO1,24 hr 20˚ L wp0,2,STPO1_24 hr 20˚ L wp0
STPO1_24 hr 20˚ L wp0_3,l08,STPO1,24 hr 20˚ L wp0,3,STPO1_24 hr 20˚ L wp0
STPO1_24 hr 20˚ L wp0_4,l09,STPO1,24 hr 20˚ L wp0,4,STPO1_24 hr 20˚ L wp0
STPO1_24 hr 20˚ L wp0_5,l10,STPO1,24 hr 20˚ L wp0,5,STPO1_24 hr 20˚ L wp0
STPO1_24 hr 20˚ L wp-0.3_1,l11,STPO1,24 hr 20˚ L wp-0.3,1,STPO1_24 hr 20˚ L wp-0.3
STPO1_24 hr 20˚ L wp-0.3_2,l12,STPO1,24 hr 20˚ L wp-0.3,2,STPO1_24 hr 20˚ L wp-0.3
STPO1_24 hr 20˚ L wp-0.3_3,l13,STPO1,24 hr 20˚ L wp-0.3,3,STPO1_24 hr 20˚ L wp-0.3
STPO1_24 hr 20˚ L wp-0.3_4,l14,STPO1,24 hr 20˚ L wp-0.3,4,STPO1_24 hr 20˚ L wp-0.3
STPO1_24 hr 20˚ L wp-0.3_5,l15,STPO1,24 hr 20˚ L wp-0.3,5,STPO1_24 hr 20˚ L wp-0.3
STTO-BH_Dry_1,m01,STTO-BH,Dry,1,STTO-BH_Dry
STTO-BH_Dry_2,m02,STTO-BH,Dry,2,STTO-BH_Dry
STTO-BH_Dry_3,m03,STTO-BH,Dry,3,STTO-BH_Dry
STTO-BH_Dry_4,m04,STTO-BH,Dry,4,STTO-BH_Dry
STTO-BH_Dry_5,m05,STTO-BH,Dry,5,STTO-BH_Dry
STTO-BH_24 hr 20˚ L wp0_1,m06,STTO-BH,24 hr 20˚ L wp0,1,STTO-BH_24 hr 20˚ L wp0
STTO-BH_24 hr 20˚ L wp0_2,m07,STTO-BH,24 hr 20˚ L wp0,2,STTO-BH_24 hr 20˚ L wp0
STTO-BH_24 hr 20˚ L wp0_3,m08,STTO-BH,24 hr 20˚ L wp0,3,STTO-BH_24 hr 20˚ L wp0
STTO-BH_24 hr 20˚ L wp0_4,m09,STTO-BH,24 hr 20˚ L wp0,4,STTO-BH_24 hr 20˚ L wp0
STTO-BH_24 hr 20˚ L wp0_5,m10,STTO-BH,24 hr 20˚ L wp0,5,STTO-BH_24 hr 20˚ L wp0
STTO-BH_24 hr 20˚ L wp-0.3_1,m11,STTO-BH,24 hr 20˚ L wp-0.3,1,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_2,m12,STTO-BH,24 hr 20˚ L wp-0.3,2,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_3,m13,STTO-BH,24 hr 20˚ L wp-0.3,3,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_4,m14,STTO-BH,24 hr 20˚ L wp-0.3,4,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_5,m15,STTO-BH,24 hr 20˚ L wp-0.3,5,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_5 days 5˚ L wp0_1,m16,STTO-BH,5 days 5˚ L wp0,1,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_2,m17,STTO-BH,5 days 5˚ L wp0,2,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_3,m18,STTO-BH,5 days 5˚ L wp0,3,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_4,m19,STTO-BH,5 days 5˚ L wp0,4,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_5,m20,STTO-BH,5 days 5˚ L wp0,5,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ D wp0_1,m21,STTO-BH,5 days 5˚ D wp0,1,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_2,m22,STTO-BH,5 days 5˚ D wp0,2,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_3,m23,STTO-BH,5 days 5˚ D wp0,3,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_4,m24,STTO-BH,5 days 5˚ D wp0,4,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_5,m25,STTO-BH,5 days 5˚ D wp0,5,STTO-BH_5 days 5˚ D wp0
STTO-BH_24 hr 20˚ D wp0_1,m26,STTO-BH,24 hr 20˚ D wp0,1,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_2,m27,STTO-BH,24 hr 20˚ D wp0,2,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_3,m28,STTO-BH,24 hr 20˚ D wp0,3,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_4,m29,STTO-BH,24 hr 20˚ D wp0,4,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_5,m30,STTO-BH,24 hr 20˚ D wp0,5,STTO-BH_24 hr 20˚ D wp0
